,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
17608,11 Ave & W 41 St,8 Ave & W 33 St,40.76030096,-73.99884222,40.751551,-73.993934,32
18321,Richardson St & N Henry St,Graham Ave & Conselyea St,40.71907891179564,-73.94223690032959,40.715143,-73.944507,32
26814,Central Park West & W 76 St,Central Park West & W 76 St,40.778968,-73.973747,40.778968,-73.973747,32
451,Central Park S & 6 Ave,5 Ave & E 72 St,40.76590936,-73.97634151,40.77282817,-73.96685276,31
814,North Moore St & Greenwich St,Vesey Pl & River Terrace,40.72019521437465,-74.0103006362915,40.7153379,-74.01658354,31
1656,Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,40.777507027547976,-73.98888587951659,31
2962,E 68 St & 3 Ave,1 Ave & E 68 St,40.76712840349542,-73.96224617958069,40.76500525,-73.95818491,31
4364,E 33 St & 1 Ave,E 40 St & Park Ave,40.74322681432173,-73.97449783980846,40.750756,-73.978326,31
5655,12 Ave & W 40 St,10 Ave & W 14 St,40.76087502,-74.00277668,40.74198159994023,-74.00831580162048,31
7429,Huron St & Franklin St,Kent Ave & N 7 St,40.73266,-73.95826,40.72036775298455,-73.96165072917938,31
9026,E 7 St & Avenue A,Cooper Square & Astor Pl,40.72621788,-73.98379855,40.72951496224949,-73.99075269699097,31
28772,Henry St & Grand St,Clinton St & Grand St,40.714211,-73.981095,40.71559509,-73.9870295,31
3052,Central Park West & W 68 St,Central Park West & W 72 St,40.7734066,-73.97782542,40.77579376683666,-73.9762057363987,30
3901,E 27 St & 1 Ave,2 Ave & E 29 St,40.739445,-73.976806,40.74172351097472,-73.97809267044067,30
6271,5 Ave & E 78 St,5 Ave & E 78 St,40.77632142182271,-73.96427392959595,40.77632142182271,-73.96427392959595,30
6846,11 Ave & W 27 St,W 26 St & 8 Ave,40.751396,-74.005226,40.74734825,-73.99723551,30
7706,Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,40.74232744,-73.95411749,40.73555,-73.95284,30
7747,Yankee Ferry Terminal,Picnic Point,40.687066,-74.016756,40.685126,-74.025353,30
10450,Kent Ave & N 7 St,India St Pier,40.72036775298455,-73.96165072917938,40.731734785883454,-73.9612390102593,30
10769,Kent Ave & N 7 St,Huron St & Franklin St,40.72036775298455,-73.96165072917938,40.73266,-73.95826,30
14270,Washington Square E,University Pl & E 14 St,40.73049393,-73.9957214,40.734814,-73.992085,30
20818,Clinton St & Grand St,Henry St & Grand St,40.71559509,-73.9870295,40.714211,-73.981095,30
24307,W 70 St & Amsterdam Ave,W 64 St & Thelonious Monk Circle,40.77748046,-73.98288594,40.77515953434235,-73.98918695747852,30
31531,West St & Chambers St,10 Ave & W 14 St,40.71754834,-74.01322069,40.74198159994023,-74.00831580162048,30
203,Wards Meadow Comfort Station,Wards Meadow Comfort Station,40.782961845,-73.930778265,40.78294,-73.93077,29
1004,45 Ave & 21 St,46 Ave & 5 St,40.74737075646803,-73.94777297973631,40.74731,-73.95451,29
2175,E 40 St & Park Ave,E 33 St & 1 Ave,40.750756,-73.978326,40.74322681432173,-73.97449783980846,29
2512,Grant Ave & E 169 St,Grant Ave & E 169 St,40.835824728,-73.913673997,40.83579,-73.913741,29
3259,1 Ave & E 62 St,1 Ave & E 78 St,40.7612274,-73.96094022,40.77140426,-73.9535166,29
4192,West St & Chambers St,Spring St & Hudson St,40.71754834,-74.01322069,40.72583996792375,-74.0076532959938,29
